Label,Position,CG,Class,Number,Verb,Group,Sentence,Sagen,Given,Answer,Claim,Question
Rating,V2,NEW,V2-NEW ,1,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:",Woher kommt die Vermieterin?,"<font color=""blue"">Frans</font> antwortet:","<i>  Leah hat gesagt, die Vermieterin ist Franz&ouml;in. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,1,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:",Woher kommt die Vermieterin?,"<font color=""blue"">Frans</font> antwortet:","<i>  Leah hat gesagt, dass die Vermieterin Franz&ouml;in ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,1,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:","Die Vermieterin ist Franz&ouml;in, denkst du nicht?","<font color=""blue"">Frans</font> antwortet:","<i>  Ja, Leah hat gesagt, die Vermieterin ist Franz&ouml;in. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,1,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:","Die Vermieterin ist Franz&ouml;in, denkst du nicht?","<font color=""blue"">Frans</font> antwortet:","<i>  Ja, Leah hat gesagt, dass die Vermieterin Franz&ouml;in ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,2,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:",Gibt es Neuigkeiten &uuml;ber Klaus?,"<font color=""blue"">Emma</font> antwortet:","<i> Lena hat gesagt, Klaus ist der neue Lottogewinner.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,2,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:",Gibt es Neuigkeiten &uuml;ber Klaus?,"<font color=""blue"">Emma</font> antwortet:","<i> Lena hat gesagt, dass Klaus der neue Lottogewinner ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,2,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:","Klaus hat der Lotto gewonnen, glaube ich.","<font color=""blue"">Emma</font> antwortet:","<i> Ja, na klar! Lena hat gesagt, Klaus ist der neue Lottogewinner.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,2,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:","Klaus hat der Lotto gewonnen, glaube ich.","<font color=""blue"">Emma</font> antwortet:","<i> Ja, na klar! Lena hat gesagt, dass Klaus der neue Lottogewinner ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,3,erwahnen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:",Was hat Cornelia k&uuml;rzlich gemacht?,"<font color=""blue"">Agnes</font> antwortet:","<i> H&ouml;r mal! Leila hat erw&auml;hnt, Cornelia ist auf dem Cover von Der Spiegel. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,3,erwahnen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:",Was hat Cornelia k&uuml;rzlich gemacht?,"<font color=""blue"">Agnes</font> antwortet:","<i> H&ouml;r mal! Leila hat erw&auml;hnt, dass Cornelia auf dem Cover von Der Spiegel ist. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,3,erwahnen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:","Cornelia ist auf der Titelseite von Der Spiegel, h&ouml;rte ich.","<font color=""blue"">Agnes</font> antwortet:","<i> Stimmt! Leila hat erw&auml;hnt, Cornelia ist auf dem Cover von Der Spiegel. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,3,erwahnen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:","Cornelia ist auf der Titelseite von Der Spiegel, h&ouml;rte ich.","<font color=""blue"">Agnes</font> antwortet:","<i> Stimmt! Leila hat erw&auml;hnt, dass Cornelia auf dem Cover von Der Spiegel ist. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,4,erwahnen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:",Was is eigentlich los mit Theodor?,"<font color=""blue"">Ella</font> antwortet:","<i> Ach! Nellie hat erw&auml;hnt, Theodor ist einer Sekte beigetreten. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,4,erwahnen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:",Was is eigentlich los mit Theodor?,"<font color=""blue"">Ella</font> antwortet:","<i> Ach! Nellie hat erw&auml;hnt, dass Theodor einer Sekte beigetreten ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,4,erwahnen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:","Theodor ist einer Sekte beigetreten, das ist aber seltsam!","<font color=""blue"">Ella</font> antwortet:","<i> Na klar! Nellie hat erw&auml;hnt, Theodor ist einer Sekte beigetreten. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,4,erwahnen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:","Theodor ist einer Sekte beigetreten, das ist aber seltsam!","<font color=""blue"">Ella</font> antwortet:","<i> Na klar! Nellie hat erw&auml;hnt, dass Theodor einer Sekte beigetreten ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,5,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Kerstin</font> und  <font color=""blue"">Elliot</font>. ","Du h&ouml;rst  <font color=""green"">Kerstin</font> sagen:",Was macht Nils Vater eigentlich?,"<font color=""blue"">Elliot</font> antwortet:","<i>Nils hat gesagt, sein Vater ist B&uuml;rgermeister von Duisburg.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
